Stunde;Außen-temperatur;Absolute Feuchtigkeit;Entfeuchtungs-leistung (bei 26°C);Heizleistung;Kühlleistung;Gesamt-leistung
hh;°C;g/kg;kW;kW;kW;kW
1;4,8;5,05;0,00;81,49;0,00;81,49
2;4,8;4,57;0,00;81,49;0,00;81,49
3;4,6;4,43;0,00;82,56;0,00;82,56
4;4,5;4,38;0,00;83,10;0,00;83,10
5;4,4;4,31;0,00;83,64;0,00;83,64
6;4,4;4,37;0,00;83,64;0,00;83,64
7;4,3;4,29;0,00;75,49;0,00;75,49
8;4,3;4,21;0,00;65,71;0,00;65,71
9;4,7;4,27;0,00;0,00;0,16;0,16
10;6,4;4,41;0,00;0,00;0,55;0,55
11;7,8;4,19;0,00;0,00;0,61;0,61
12;9;4,24;0,00;0,00;1,09;1,09
13;9,7;4,27;0,00;0,00;0,77;0,77
14;10;4,18;0,00;0,00;0,95;0,95
15;9,8;4,18;0,00;0,00;0,56;0,56
16;9,2;4,27;0,00;0,00;0,63;0,63
17;8,3;4,26;0,00;0,00;0,12;0,12
18;7,7;4,21;0,00;0,00;0,00;0,00
19;7,1;5,12;0,00;0,00;1,15;1,15
20;6,6;5,71;0,00;0,00;0,90;0,90
21;6;5,49;0,00;0,00;0,76;0,76
22;5,4;5,28;0,00;0,00;0,68;0,68
23;4,9;5,07;0,00;0,00;0,00;0,00
24;4,3;4,87;0,00;0,00;0,00;0,00
25;3,1;4,49;0,00;0,00;0,00;0,00
26;1,9;4,1;0,00;0,00;0,00;0,00
27;0,6;3,73;0,00;0,00;0,00;0,00
28;0,1;3,55;0,00;0,00;0,00;0,00
29;0,8;3,37;0,00;0,00;0,00;0,00
30;1,5;2,74;0,00;0,00;0,00;0,00
31;2,1;2,66;0,00;0,00;0,00;0,00
32;2,6;2,51;0,00;46,98;0,00;46,98
33;2,1;2,57;0,00;0,00;0,12;0,12
34;0,1;2,86;0,00;0,00;0,14;0,14
35;1,5;2,99;0,00;0,00;0,13;0,13
36;2,6;3,17;0,00;0,00;0,00;0,00
37;3,3;3,19;0,00;0,00;0,68;0,68
38;3,5;3,2;0,00;0,00;0,83;0,83
39;3,3;3,35;0,00;0,00;0,72;0,72
40;2,3;3,35;0,00;0,00;0,12;0,12
41;1;3,29;0,00;0,35;0,00;0,35
42;0,4;3,4;0,00;0,25;0,00;0,25
43;0,2;3,14;0,00;0,26;0,00;0,26
44;0,7;3,15;0,00;0,50;0,00;0,50
45;1,3;3,31;0,00;0,56;0,00;0,56
46;1,9;3,36;0,00;0,64;0,00;0,64
47;2,5;3,21;0,00;35,89;0,00;35,89
48;3;3,22;0,00;123,31;0,00;123,31
49;3,1;3,13;0,00;123,84;0,00;123,84
50;3,1;3,15;0,00;123,84;0,00;123,84
51;3,1;3,2;0,00;123,84;0,00;123,84
52;3,1;3,2;0,00;123,84;0,00;123,84
53;3,1;3,21;0,00;123,84;0,00;123,84
54;3;3,22;0,00;123,31;0,00;123,31
55;3;3,23;0,00;117,40;0,00;117,40
56;2,9;3,25;0,00;110,84;0,00;110,84
57;2,5;3,36;0,00;36,67;0,00;36,67
