 TIME                    	Delta_Energy             	Result                   	Result                   	label                    	
 HOURS              	°C                  	°C                  	kJ/h                	kJ/h                	
  +0.0000000000000000E+00	  +2.3702420147457451E+02	  +2.3702420147457451E+02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.0000000000000000E+00	  +4.7405022457455544E+02	  +2.3702511228727772E+02	  +2.3702511228727772E+02	  +0.0000000000000000E+00	
  +2.0000000000000000E+00	  +9.4810227207968910E+02	  +2.3702602375256680E+02	  +7.1107624832712224E+02	  +0.0000000000000000E+00	
  +3.0000000000000000E+00	  +1.8962063683941899E+03	  +2.3702693586997276E+02	  +1.6591794325242172E+03	  +0.0000000000000000E+00	
  +4.0000000000000000E+00	  +3.7924145623264872E+03	  +2.3702784863902642E+02	  +3.5553867136874605E+03	  +0.0000000000000000E+00	
  +5.0000000000000000E+00	  +7.5848309514934372E+03	  +2.3702876205925816E+02	  +7.3478021894341791E+03	  +0.0000000000000000E+00	
  +6.0000000000000000E+00	  +1.5169663731128754E+04	  +2.3702967613019808E+02	  +1.4932634054998556E+04	  +0.0000000000000000E+00	
  +7.0000000000000000E+00	  +3.0339329291699865E+04	  +2.3703059085137593E+02	  +3.0102298700848489E+04	  +0.0000000000000000E+00	
  +8.0000000000000000E+00	  +6.0678660414141617E+04	  +2.3703150622232113E+02	  +6.0441628907919294E+04	  +0.0000000000000000E+00	
  +9.0000000000000000E+00	  +1.2135732266032373E+05	  +2.3703242224256275E+02	  +1.2112029023808116E+05	  +0.0000000000000000E+00	
  +1.0000000000000000E+01	  +2.4271464715398557E+05	  +2.3703333891162953E+02	  +2.4247761381507394E+05	  +0.0000000000000000E+00	
  +1.1000000000000000E+01	  +4.8542929614260601E+05	  +2.3703425622904987E+02	  +4.8519226188637695E+05	  +0.0000000000000000E+00	
  +1.2000000000000000E+01	  +9.7085859412114264E+05	  +2.3703517419435184E+02	  +9.7062155894694827E+05	  +0.0000000000000000E+00	
  +1.3000000000000000E+01	  +1.9417171900795107E+06	  +2.3703609280706323E+02	  +1.9414801539867036E+06	  +0.0000000000000000E+00	
  +1.4000000000000000E+01	  +3.8834343819975406E+06	  +2.3703701206671141E+02	  +3.8831973449854739E+06	  +0.0000000000000000E+00	
  +1.5000000000000000E+01	  +7.7668687658348940E+06	  +2.3703793197282349E+02	  +7.7666317279029209E+06	  +0.0000000000000000E+00	
  +1.6000000000000000E+01	  +1.5533737533510890E+07	  +2.3703885252492620E+02	  +1.5533500494658366E+07	  +0.0000000000000000E+00	
  +1.7000000000000000E+01	  +3.1067475068864178E+07	  +2.3703977372254593E+02	  +3.1067238029090457E+07	  +0.0000000000000000E+00	
  +1.8000000000000000E+01	  +6.2134950139572039E+07	  +2.3704069556520878E+02	  +6.2134713098876476E+07	  +0.0000000000000000E+00	
  +1.9000000000000000E+01	  +1.2426990028098905E+08	  +2.3704161805244047E+02	  +1.2426966323937100E+08	  +0.0000000000000000E+00	
  +2.0000000000000000E+01	  +2.4853980056382439E+08	  +2.3704254118376650E+02	  +2.4853956352128321E+08	  +0.0000000000000000E+00	
  +2.1000000000000000E+01	  +4.9707960112949634E+08	  +2.3704346495871187E+02	  +4.9707936408603138E+08	  +0.0000000000000000E+00	
  +2.2000000000000000E+01	  +9.9415920226084149E+08	  +2.3704438937680140E+02	  +9.9415896521645212E+08	  +0.0000000000000000E+00	
  +2.3000000000000000E+01	  +1.9883184045235331E+09	  +2.3704531443755948E+02	  +1.9883181674782186E+09	  +0.0000000000000000E+00	
  +2.4000000000000000E+01	  +3.9766368090489173E+09	  +2.3704624014051018E+02	  +3.9766365720026770E+09	  +0.0000000000000000E+00	
  +2.5000000000000000E+01	  +7.9532736180996876E+09	  +2.3704716648517729E+02	  +7.9532733810525208E+09	  +0.0000000000000000E+00	
  +2.6000000000000000E+01	  +1.5906547236201229E+10	  +2.3704809347108426E+02	  +1.5906546999153135E+10	  +0.0000000000000000E+00	
  +2.7000000000000000E+01	  +3.1813094472404316E+10	  +2.3704902109775415E+02	  +3.1813094235355293E+10	  +0.0000000000000000E+00	
  +2.8000000000000000E+01	  +6.3626188944810486E+10	  +2.3704994936470979E+02	  +6.3626188707760536E+10	  +0.0000000000000000E+00	
  +2.9000000000000000E+01	  +1.2725237788962283E+11	  +2.3705087827147358E+02	  +1.2725237765257196E+11	  +0.0000000000000000E+00	
  +3.0000000000000000E+01	  +2.5450475577924756E+11	  +2.3705180781756764E+02	  +2.5450475554219574E+11	  +0.0000000000000000E+00	
  +3.1000000000000000E+01	  +5.0900951155849695E+11	  +2.3705273800251379E+02	  +5.0900951132144421E+11	  +0.0000000000000000E+00	
  +3.2000000000000000E+01	  +1.0180190231169958E+12	  +2.3705366882583343E+02	  +1.0180190228799421E+12	  +0.0000000000000000E+00	
