 TIME                    	T_Ground_in              	T_Ground_out             	Lps                      	label                    	
 HOURS              	°C                  	°C                  	lps                 	lps                 	
  +0.0000000000000000E+00	  +1.1165685617391055E+01	  +6.0199999999999996E+00	  -3.7632979185024835E+00	  +0.0000000000000000E+00	
  +1.0000000000000000E+00	  +1.1165279729377147E+01	  +6.0199999999999996E+00	  -3.7635942123212613E+00	  +0.0000000000000000E+00	
  +2.0000000000000000E+00	  +1.1164873550549583E+01	  +6.0199999999999996E+00	  -3.7886015463327420E+00	  +0.0000000000000000E+00	
  +3.0000000000000000E+00	  +1.1164467081117330E+01	  +6.0199999999999996E+00	  -3.8260848815341681E+00	  +0.0000000000000000E+00	
  +4.0000000000000000E+00	  +1.1164060321289497E+01	  +6.0199999999999996E+00	  -3.8513324956650328E+00	  +0.0000000000000000E+00	
  +5.0000000000000000E+00	  +1.1163653271275347E+01	  +6.0199999999999996E+00	  -3.8641104991057400E+00	  +0.0000000000000000E+00	
  +6.0000000000000000E+00	  +1.1163245931284292E+01	  +6.0199999999999996E+00	  -3.6761388592075948E+00	  +0.0000000000000000E+00	
  +7.0000000000000000E+00	  +1.1162838301525889E+01	  +6.0199999999999996E+00	  -3.2621873278162195E+00	  +0.0000000000000000E+00	
  +8.0000000000000000E+00	  +1.1162430382209850E+01	  +6.0199999999999996E+00	  -1.5182386693915826E+00	  +0.0000000000000000E+00	
  +9.0000000000000000E+00	  +1.1162022173546031E+01	  +1.1182022173546031E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.0000000000000000E+01	  +1.1161613675744439E+01	  +1.1181613675744439E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.1000000000000000E+01	  +1.1161204889015233E+01	  +1.1181204889015232E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.2000000000000000E+01	  +1.1160795813568713E+01	  +1.1180795813568713E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.3000000000000000E+01	  +1.1160386449615332E+01	  +1.1180386449615332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.4000000000000000E+01	  +1.1159976797365696E+01	  +1.1179976797365695E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.5000000000000000E+01	  +1.1159566857030550E+01	  +1.1179566857030549E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.6000000000000000E+01	  +1.1159156628820792E+01	  +1.1179156628820792E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.7000000000000000E+01	  +1.1158746112947471E+01	  +1.1178746112947470E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.8000000000000000E+01	  +1.1158335309621778E+01	  +1.1178335309621778E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.9000000000000000E+01	  +1.1157924219055056E+01	  +1.1177924219055056E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.0000000000000000E+01	  +1.1157512841458795E+01	  +1.1177512841458794E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.1000000000000000E+01	  +1.1157101177044630E+01	  +1.1177101177044630E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.2000000000000000E+01	  +1.1156689226024348E+01	  +1.1176689226024347E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.3000000000000000E+01	  +1.1156276988609880E+01	  +1.1176276988609880E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.4000000000000000E+01	  +1.1155864465013307E+01	  +1.1175864465013307E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.5000000000000000E+01	  +1.1155451655446853E+01	  +1.1175451655446853E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.6000000000000000E+01	  +1.1155038560122897E+01	  +1.1175038560122896E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.7000000000000000E+01	  +1.1154625179253953E+01	  +1.1174625179253953E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.8000000000000000E+01	  +1.1154211513052694E+01	  +1.1174211513052693E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
