 TIME                    	Electric                 	Cooling                  	Heating                  	Dehumidification         	
 HOURS              	kWh                 	kWh                 	kWh                 	kWh                 	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.0000000000000000E+00	  +1.8494883097588541E+01	  +0.0000000000000000E+00	  +8.1489999999999995E+01	  +0.0000000000000000E+00	
  +2.0000000000000000E+00	  +3.6989670682669953E+01	  +0.0000000000000000E+00	  +1.6351499999999999E+02	  +0.0000000000000000E+00	
  +3.0000000000000000E+00	  +5.5484362688339715E+01	  +0.0000000000000000E+00	  +2.4634499999999997E+02	  +0.0000000000000000E+00	
  +4.0000000000000000E+00	  +7.6510122642710002E+01	  +0.0000000000000000E+00	  +3.2971499999999997E+02	  +0.0000000000000000E+00	
  +5.0000000000000000E+00	  +9.5004623289051850E+01	  +0.0000000000000000E+00	  +4.1335499999999996E+02	  +0.0000000000000000E+00	
  +6.0000000000000000E+00	  +1.1603041239610903E+02	  +0.0000000000000000E+00	  +4.9291999999999996E+02	  +0.0000000000000000E+00	
  +7.0000000000000000E+00	  +1.3705621609628031E+02	  +0.0000000000000000E+00	  +5.6351999999999998E+02	  +0.0000000000000000E+00	
  +8.0000000000000000E+00	  +1.5808203440073845E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +9.0000000000000000E+00	  +1.7910786732065048E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +1.0000000000000000E+01	  +1.7910786732065048E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +1.1000000000000000E+01	  +1.7910786732065048E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +1.2000000000000000E+01	  +1.7910786732065048E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +1.3000000000000000E+01	  +1.7910786732065048E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +1.4000000000000000E+01	  +1.7910786732065048E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +1.5000000000000000E+01	  +1.7910786732065048E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +1.6000000000000000E+01	  +1.7910786732065048E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +1.7000000000000000E+01	  +1.7910786732065048E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +1.8000000000000000E+01	  +1.7910786732065048E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +1.9000000000000000E+01	  +1.7910786732065048E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +2.0000000000000000E+01	  +1.7910786732065048E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +2.1000000000000000E+01	  +2.0013387649493728E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +2.2000000000000000E+01	  +2.0013387649493728E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +2.3000000000000000E+01	  +2.0013387649493728E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +2.4000000000000000E+01	  +2.0013387649493728E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +2.5000000000000000E+01	  +2.0013387649493728E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
  +2.6000000000000000E+01	  +2.0013387649493728E+02	  +0.0000000000000000E+00	  +5.9637500000000000E+02	  +0.0000000000000000E+00	
