 TIME                    	COP_theoretical_Cool     	COP_theoretical_Heat     	PL_Percent_Cool          	PL_Percent_Heat          	
 HOURS              	1                   	1                   	1                   	1                   	
  +0.0000000000000000E+00	  +7.5696221908803016E+00	  +6.2944551971269216E-03	  +3.5439419045573989E-01	  +0.0000000000000000E+00	
  +1.0000000000000000E+00	  +7.5696612550232301E+00	  +6.2943952880560681E-03	  +3.5439282863071003E-01	  +0.0000000000000000E+00	
  +2.0000000000000000E+00	  +7.5697003469739377E+00	  +6.2943353360611206E-03	  +3.5439146584042702E-01	  +0.0000000000000000E+00	
  +3.0000000000000000E+00	  +7.8407956242978315E-03	  +4.7560739523027351E+00	  +0.0000000000000000E+00	  +2.3185581100544012E-01	
  +4.0000000000000000E+00	  +7.5697786142166823E+00	  +6.2942153034223321E-03	  +3.5438873736699600E-01	  +0.0000000000000000E+00	
  +5.0000000000000000E+00	  +7.8409050003405943E-03	  +4.7560673629653900E+00	  +0.0000000000000000E+00	  +2.3186193589717183E-01	
  +6.0000000000000000E+00	  +7.8409597468353919E-03	  +4.7560640645080756E+00	  +0.0000000000000000E+00	  +2.3186500173898461E-01	
  +7.0000000000000000E+00	  +7.8410145322749206E-03	  +4.7560607635267438E+00	  +0.0000000000000000E+00	  +2.3186806984289454E-01	
  +8.0000000000000000E+00	  +7.8410693566309964E-03	  +4.7560574600227019E+00	  +0.0000000000000000E+00	  +2.3187114020749947E-01	
  +9.0000000000000000E+00	  +7.8411242198754144E-03	  +6.2939144728153956E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.0000000000000000E+01	  +7.8411791219799472E-03	  +6.2938541785398806E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.1000000000000000E+01	  +7.8412340629163534E-03	  +6.2937938416186504E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.2000000000000000E+01	  +7.8412890426563658E-03	  +6.2937334620827437E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.3000000000000000E+01	  +7.8413440611716997E-03	  +6.2936730399632242E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.4000000000000000E+01	  +7.8413991184340514E-03	  +6.2936125752911781E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.5000000000000000E+01	  +7.8414542144150945E-03	  +6.2935520680977106E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.6000000000000000E+01	  +7.8415093490864871E-03	  +6.2934915184139498E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.7000000000000000E+01	  +7.8415645224198596E-03	  +6.2934309262710477E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.8000000000000000E+01	  +7.8416197343868337E-03	  +6.2933702917001757E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.9000000000000000E+01	  +7.8416749849590014E-03	  +6.2933096147325274E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.0000000000000000E+01	  +7.8417302741079376E-03	  +4.7560176216813215E+00	  +0.0000000000000000E+00	  +2.3190816040503426E-01	
  +2.1000000000000000E+01	  +7.8417856018052016E-03	  +6.2931881337317886E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.2000000000000000E+01	  +7.8418409680223282E-03	  +6.2931273297611948E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.3000000000000000E+01	  +7.8418963727308316E-03	  +6.2930664835188195E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.4000000000000000E+01	  +7.8419518159022119E-03	  +6.2930055950359658E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.5000000000000000E+01	  +7.8420072975079434E-03	  +6.2929446643439566E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.6000000000000000E+01	  +7.8420628175194830E-03	  +6.2928836914741418E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.7000000000000000E+01	  +7.8421183759082684E-03	  +6.2928226764578854E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.8000000000000000E+01	  +7.8421739726457183E-03	  +6.2927616193265796E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.9000000000000000E+01	  +7.8422296077032272E-03	  +6.2927005201116352E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +3.0000000000000000E+01	  +7.5708061279350085E+00	  +6.2926393788444845E-03	  +3.5435291877058978E-01	  +0.0000000000000000E+00	
